compte_courant,historique_credit,epargne,anciennete_emploi,patrimoine,logement,autres_credits,objet_credit,situation_familiale,age,montant_credit,duree_mois,taux_effort,anciennete_logement,nb_credits_en_cours,personnes_a_charge,defaut
0 a 200 euros,tous rembourses,100 a 500 euros,1 a 4 ans,immobilier,proprietaire,aucun,tv hifi,celibataire,20,2221,25,2,2,1,2,0
solde negatif,retards passes,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,equipement maison,divorce,29,1610,11,4,4,2,0,1
solde negatif,credits en cours ok,moins de 100 euros,plus de 7 ans,voiture,loge gratuitement,credit dans une autre banque,equipement maison,marie,37,4032,28,2,2,2,0,0
pas de compte,tous rembourses,moins de 100 euros,plus de 7 ans,voiture,proprietaire,credit dans un magasin,tv hifi,celibataire,19,1900,16,3,1,1,0,0
pas de compte,retards passes,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,tv hifi,divorce,42,1061,14,1,2,1,0,0
0 a 200 euros,credits en cours ok,500 a 1000 euros,plus de 7 ans,aucun,proprietaire,aucun,equipement maison,celibataire,35,6139,18,2,1,2,2,0
0 a 200 euros,credits en cours ok,moins de 100 euros,plus de 7 ans,assurance vie,proprietaire,aucun,equipement maison,celibataire,44,5860,26,1,1,2,2,1
solde negatif,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,loge gratuitement,aucun,voiture neuve,celibataire,44,2730,17,2,2,1,2,1
pas de compte,retards passes,pas d epargne,1 a 4 ans,voiture,proprietaire,aucun,reparations,celibataire,29,983,14,1,1,2,0,0
pas de compte,tous rembourses,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,credit dans un magasin,tv hifi,celibataire,29,1007,17,4,4,1,1,0
0 a 200 euros,aucun credit,moins de 100 euros,plus de 7 ans,immobilier,proprietaire,aucun,voiture neuve,marie,40,2636,17,1,1,1,0,0
0 a 200 euros,aucun credit,100 a 500 euros,plus de 7 ans,assurance vie,locataire,aucun,tv hifi,celibataire,23,1703,25,4,2,2,1,0
0 a 200 euros,tous rembourses,moins de 100 euros,moins de 1 an,assurance vie,proprietaire,aucun,business,marie,23,1909,15,2,1,2,1,0
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,proprietaire,credit dans une autre banque,business,celibataire,27,5094,15,4,1,2,2,1
solde negatif,tous rembourses,plus de 1000 euros,1 a 4 ans,aucun,proprietaire,aucun,equipement maison,celibataire,21,4138,11,4,2,1,1,0
pas de compte,defauts passes,pas d epargne,1 a 4 ans,immobilier,loge gratuitement,aucun,voiture neuve,marie,22,6583,26,2,3,1,2,0
pas de compte,defauts passes,moins de 100 euros,moins de 1 an,immobilier,proprietaire,aucun,tv hifi,divorce,22,1196,20,4,4,1,2,1
0 a 200 euros,credits en cours ok,pas d epargne,plus de 7 ans,aucun,proprietaire,aucun,voiture neuve,celibataire,30,1906,36,1,4,1,2,0
solde negatif,credits en cours ok,moins de 100 euros,4 a 7 ans,immobilier,loge gratuitement,credit dans une autre banque,business,marie,30,4215,33,4,4,1,0,1
pas de compte,tous rembourses,500 a 1000 euros,plus de 7 ans,assurance vie,proprietaire,aucun,voiture neuve,celibataire,46,3370,21,3,2,1,1,0
pas de compte,tous rembourses,moins de 100 euros,plus de 7 ans,voiture,proprietaire,aucun,voiture occasion,celibataire,30,7356,18,1,2,1,1,0
solde negatif,credits en cours ok,100 a 500 euros,plus de 7 ans,voiture,proprietaire,aucun,equipement maison,celibataire,33,3304,19,2,1,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,aucun,equipement maison,celibataire,58,9234,13,1,4,2,0,1
pas de compte,aucun credit,500 a 1000 euros,4 a 7 ans,immobilier,proprietaire,credit dans une autre banque,electromenager,celibataire,19,3600,11,3,1,2,1,0
solde negatif,credits en cours ok,moins de 100 euros,moins de 1 an,immobilier,loge gratuitement,aucun,equipement maison,celibataire,36,5244,10,4,3,1,0,1
0 a 200 euros,credits en cours ok,100 a 500 euros,4 a 7 ans,voiture,proprietaire,credit dans une autre banque,voiture neuve,marie,31,1933,17,3,2,2,0,0
solde negatif,credits en cours ok,pas d epargne,moins de 1 an,voiture,proprietaire,aucun,voiture occasion,celibataire,37,2466,4,3,2,1,1,0
pas de compte,tous rembourses,plus de 1000 euros,4 a 7 ans,immobilier,proprietaire,aucun,equipement maison,marie,28,4703,43,1,4,2,2,0
0 a 200 euros,tous rembourses,moins de 100 euros,moins de 1 an,voiture,proprietaire,aucun,voiture neuve,celibataire,30,7796,50,2,4,1,1,1
pas de compte,credits en cours ok,moins de 100 euros,moins de 1 an,voiture,proprietaire,aucun,tv hifi,marie,50,4126,10,1,4,2,0,0
pas de compte,retards passes,100 a 500 euros,moins de 1 an,immobilier,proprietaire,credit dans un magasin,tv hifi,marie,39,2299,50,4,3,2,0,0
0 a 200 euros,tous rembourses,moins de 100 euros,sans emploi,assurance vie,proprietaire,aucun,tv hifi,celibataire,31,6579,10,1,4,1,0,0
solde negatif,credits en cours ok,100 a 500 euros,4 a 7 ans,voiture,proprietaire,aucun,business,celibataire,26,504,19,4,4,1,0,0
0 a 200 euros,credits en cours ok,pas d epargne,4 a 7 ans,immobilier,locataire,credit dans un magasin,business,marie,23,877,23,2,4,2,0,0
solde negatif,aucun credit,moins de 100 euros,1 a 4 ans,assurance vie,proprietaire,aucun,business,divorce,28,3987,20,2,2,1,2,1
solde negatif,credits en cours ok,moins de 100 euros,moins de 1 an,voiture,proprietaire,aucun,voiture occasion,celibataire,32,2466,13,4,4,2,0,1
pas de compte,credits en cours ok,pas d epargne,moins de 1 an,aucun,locataire,aucun,voiture neuve,celibataire,58,3774,13,3,4,2,0,0
pas de compte,tous rembourses,moins de 100 euros,sans emploi,voiture,proprietaire,aucun,voiture occasion,divorce,35,2556,30,3,2,1,0,0
pas de compte,credits en cours ok,pas d epargne,moins de 1 an,voiture,proprietaire,credit dans une autre banque,etudes,celibataire,27,3682,36,4,4,2,0,0
pas de compte,credits en cours ok,moins de 100 euros,plus de 7 ans,voiture,locataire,aucun,autre,marie,19,1358,5,3,4,2,0,0
plus de 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,assurance vie,proprietaire,credit dans une autre banque,reparations,celibataire,25,3680,22,2,3,2,0,0
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,voiture neuve,celibataire,28,4994,26,4,2,1,2,0
0 a 200 euros,aucun credit,moins de 100 euros,moins de 1 an,assurance vie,locataire,aucun,business,marie,36,5877,21,4,3,1,0,0
solde negatif,credits en cours ok,moins de 100 euros,moins de 1 an,immobilier,proprietaire,aucun,equipement maison,marie,29,10402,7,1,4,1,0,1
0 a 200 euros,tous rembourses,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,voiture neuve,celibataire,59,2910,25,3,4,2,0,0
solde negatif,credits en cours ok,pas d epargne,4 a 7 ans,voiture,proprietaire,aucun,equipement maison,marie,31,2973,34,1,1,2,0,1
solde negatif,credits en cours ok,500 a 1000 euros,1 a 4 ans,assurance vie,proprietaire,aucun,voiture neuve,marie,46,815,11,2,3,2,0,0
solde negatif,defauts passes,100 a 500 euros,sans emploi,aucun,proprietaire,credit dans un magasin,tv hifi,marie,19,1665,13,4,1,1,0,1
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,aucun,equipement maison,celibataire,33,2124,21,4,4,1,0,1
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,assurance vie,locataire,aucun,equipement maison,marie,26,5199,18,4,2,2,1,1
pas de compte,tous rembourses,500 a 1000 euros,moins de 1 an,immobilier,proprietaire,aucun,tv hifi,marie,47,1572,13,1,3,2,0,0
pas de compte,credits en cours ok,pas d epargne,plus de 7 ans,voiture,proprietaire,aucun,etudes,marie,29,4330,9,3,4,2,0,0
solde negatif,aucun credit,pas d epargne,4 a 7 ans,voiture,locataire,aucun,tv hifi,marie,50,2438,14,4,1,2,0,0
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,assurance vie,proprietaire,aucun,equipement maison,celibataire,41,2148,4,2,2,2,0,0
plus de 200 euros,tous rembourses,100 a 500 euros,1 a 4 ans,voiture,loge gratuitement,aucun,reparations,marie,28,2920,27,4,2,2,0,0
plus de 200 euros,tous rembourses,pas d epargne,1 a 4 ans,assurance vie,proprietaire,credit dans une autre banque,formation,marie,23,1842,12,4,2,2,0,0
0 a 200 euros,tous rembourses,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,voiture neuve,celibataire,26,1792,29,4,2,1,0,0
pas de compte,tous rembourses,plus de 1000 euros,4 a 7 ans,assurance vie,loge gratuitement,aucun,tv hifi,marie,30,715,16,1,4,2,0,0
pas de compte,tous rembourses,100 a 500 euros,4 a 7 ans,assurance vie,proprietaire,aucun,voiture occasion,celibataire,41,2042,20,2,4,2,0,0
0 a 200 euros,credits en cours ok,moins de 100 euros,moins de 1 an,aucun,proprietaire,aucun,voiture neuve,marie,33,1727,6,4,4,1,0,0
solde negatif,credits en cours ok,pas d epargne,1 a 4 ans,immobilier,proprietaire,credit dans un magasin,tv hifi,celibataire,44,1683,28,4,4,1,0,0
plus de 200 euros,defauts passes,100 a 500 euros,1 a 4 ans,immobilier,proprietaire,aucun,etudes,marie,52,3295,66,4,2,1,2,1
plus de 200 euros,tous rembourses,moins de 100 euros,plus de 7 ans,voiture,proprietaire,aucun,voiture neuve,divorce,34,3921,15,1,2,1,1,0
0 a 200 euros,credits en cours ok,pas d epargne,4 a 7 ans,aucun,proprietaire,credit dans une autre banque,reparations,marie,24,2885,20,4,2,1,1,1
pas de compte,tous rembourses,pas d epargne,1 a 4 ans,assurance vie,proprietaire,aucun,reparations,divorce,38,4998,22,4,4,1,2,0
pas de compte,credits en cours ok,500 a 1000 euros,moins de 1 an,immobilier,loge gratuitement,credit dans un magasin,business,veuf,61,3694,8,1,4,1,2,0
0 a 200 euros,retards passes,moins de 100 euros,4 a 7 ans,assurance vie,proprietaire,aucun,voiture occasion,celibataire,45,1973,9,3,2,1,1,0
pas de compte,retards passes,100 a 500 euros,moins de 1 an,assurance vie,locataire,credit dans une autre banque,formation,marie,37,1749,26,4,2,2,1,0
pas de compte,tous rembourses,100 a 500 euros,1 a 4 ans,immobilier,proprietaire,aucun,voiture occasion,marie,25,3057,11,2,3,1,0,0
solde negatif,credits en cours ok,moins de 100 euros,moins de 1 an,voiture,proprietaire,aucun,tv hifi,divorce,31,3689,16,2,3,1,0,1
0 a 200 euros,credits en cours ok,moins de 100 euros,4 a 7 ans,aucun,locataire,aucun,voiture neuve,celibataire,19,6677,20,4,4,1,1,0
0 a 200 euros,credits en cours ok,moins de 100 euros,moins de 1 an,assurance vie,proprietaire,aucun,voiture neuve,veuf,22,5754,26,3,2,1,2,0
solde negatif,retards passes,moins de 100 euros,1 a 4 ans,assurance vie,proprietaire,aucun,tv hifi,marie,38,1653,17,4,4,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,plus de 7 ans,assurance vie,proprietaire,aucun,equipement maison,marie,19,2268,17,2,3,2,1,0
solde negatif,credits en cours ok,moins de 100 euros,moins de 1 an,immobilier,proprietaire,credit dans une autre banque,voiture occasion,celibataire,30,3957,60,2,4,2,0,1
plus de 200 euros,tous rembourses,moins de 100 euros,1 a 4 ans,aucun,proprietaire,aucun,voiture neuve,celibataire,22,5266,32,4,4,1,0,0
pas de compte,credits en cours ok,500 a 1000 euros,1 a 4 ans,assurance vie,proprietaire,credit dans un magasin,tv hifi,marie,23,4798,15,4,4,1,0,0
solde negatif,credits en cours ok,moins de 100 euros,sans emploi,assurance vie,locataire,aucun,voiture neuve,celibataire,34,2331,17,1,1,1,0,1
0 a 200 euros,defauts passes,moins de 100 euros,plus de 7 ans,voiture,loge gratuitement,aucun,electromenager,divorce,26,989,48,4,2,3,0,0
0 a 200 euros,retards passes,moins de 100 euros,moins de 1 an,assurance vie,proprietaire,aucun,voiture neuve,celibataire,20,1189,26,1,3,2,1,0
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,voiture neuve,marie,28,2970,34,1,2,1,2,0
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,credit dans une autre banque,equipement maison,celibataire,20,3123,15,2,4,2,2,1
pas de compte,credits en cours ok,moins de 100 euros,4 a 7 ans,voiture,proprietaire,aucun,equipement maison,marie,49,1106,14,2,4,2,0,1
pas de compte,credits en cours ok,moins de 100 euros,4 a 7 ans,aucun,proprietaire,aucun,equipement maison,marie,42,2520,42,4,1,2,2,1
0 a 200 euros,tous rembourses,pas d epargne,1 a 4 ans,voiture,proprietaire,aucun,voiture occasion,celibataire,42,3845,18,4,3,2,0,0
0 a 200 euros,tous rembourses,moins de 100 euros,sans emploi,aucun,locataire,aucun,business,celibataire,25,1065,18,4,2,2,0,1
0 a 200 euros,tous rembourses,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,credit dans une autre banque,tv hifi,celibataire,39,5408,14,4,4,1,1,0
0 a 200 euros,defauts passes,moins de 100 euros,1 a 4 ans,assurance vie,proprietaire,aucun,voiture neuve,marie,36,1860,33,3,4,2,0,0
solde negatif,credits en cours ok,plus de 1000 euros,plus de 7 ans,voiture,proprietaire,aucun,equipement maison,marie,26,6036,21,4,3,2,0,1
solde negatif,retards passes,moins de 100 euros,plus de 7 ans,voiture,proprietaire,aucun,etudes,marie,33,1662,9,4,1,2,0,0
0 a 200 euros,credits en cours ok,moins de 100 euros,plus de 7 ans,assurance vie,locataire,aucun,voiture occasion,marie,19,1165,13,4,4,2,1,1
solde negatif,aucun credit,moins de 100 euros,1 a 4 ans,assurance vie,proprietaire,aucun,voiture neuve,marie,23,1755,37,4,4,1,0,1
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,immobilier,loge gratuitement,aucun,tv hifi,celibataire,32,2279,21,4,2,1,1,1
0 a 200 euros,credits en cours ok,pas d epargne,plus de 7 ans,assurance vie,proprietaire,aucun,tv hifi,celibataire,28,1845,34,1,4,1,1,1
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,immobilier,loge gratuitement,aucun,tv hifi,celibataire,37,2089,24,4,4,1,1,1
pas de compte,tous rembourses,moins de 100 euros,moins de 1 an,voiture,proprietaire,aucun,voiture neuve,veuf,26,3104,10,4,3,1,2,0
pas de compte,credits en cours ok,moins de 100 euros,plus de 7 ans,immobilier,locataire,aucun,voiture neuve,divorce,30,2158,25,4,3,3,0,0
pas de compte,defauts passes,pas d epargne,plus de 7 ans,immobilier,loge gratuitement,aucun,tv hifi,celibataire,33,2327,18,2,2,1,0,0
solde negatif,credits en cours ok,pas d epargne,1 a 4 ans,voiture,proprietaire,aucun,voiture neuve,marie,25,713,13,3,3,2,0,1
pas de compte,credits en cours ok,moins de 100 euros,moins de 1 an,voiture,proprietaire,aucun,equipement maison,divorce,30,3236,14,4,2,1,0,0
solde negatif,retards passes,plus de 1000 euros,1 a 4 ans,aucun,loge gratuitement,aucun,tv hifi,marie,36,2289,33,2,2,2,1,1
solde negatif,credits en cours ok,moins de 100 euros,plus de 7 ans,voiture,locataire,aucun,voiture occasion,celibataire,54,7781,22,4,1,1,0,1
pas de compte,defauts passes,moins de 100 euros,plus de 7 ans,assurance vie,locataire,aucun,business,celibataire,25,1241,21,2,2,2,0,0
solde negatif,retards passes,moins de 100 euros,moins de 1 an,voiture,proprietaire,aucun,reparations,marie,28,664,44,2,2,1,1,0
pas de compte,credits en cours ok,moins de 100 euros,moins de 1 an,voiture,proprietaire,credit dans un magasin,tv hifi,veuf,75,3809,12,3,3,1,1,0
pas de compte,credits en cours ok,moins de 100 euros,plus de 7 ans,immobilier,proprietaire,aucun,voiture neuve,marie,44,3132,18,3,4,2,1,0
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,locataire,aucun,voiture neuve,celibataire,48,1181,13,3,4,1,1,0
pas de compte,tous rembourses,moins de 100 euros,1 a 4 ans,aucun,locataire,aucun,equipement maison,celibataire,40,811,25,3,2,2,1,0
pas de compte,tous rembourses,pas d epargne,plus de 7 ans,assurance vie,proprietaire,aucun,voiture neuve,marie,48,7383,21,2,2,2,1,0
solde negatif,credits en cours ok,pas d epargne,moins de 1 an,assurance vie,locataire,aucun,autre,divorce,25,6756,15,2,4,3,0,0
0 a 200 euros,credits en cours ok,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,aucun,voiture neuve,marie,46,407,16,1,3,2,2,0
pas de compte,retards passes,pas d epargne,moins de 1 an,immobilier,proprietaire,credit dans une autre banque,equipement maison,marie,43,1755,31,2,4,3,0,0
solde negatif,credits en cours ok,pas d epargne,1 a 4 ans,assurance vie,proprietaire,aucun,equipement maison,celibataire,23,8089,36,4,2,2,0,1
pas de compte,tous rembourses,moins de 100 euros,plus de 7 ans,voiture,locataire,aucun,tv hifi,divorce,30,1732,13,4,4,1,0,0
pas de compte,defauts passes,100 a 500 euros,1 a 4 ans,immobilier,proprietaire,aucun,voiture neuve,marie,19,1714,68,2,1,1,1,1
solde negatif,tous rembourses,moins de 100 euros,plus de 7 ans,aucun,locataire,aucun,equipement maison,celibataire,35,1991,8,1,4,1,2,1
solde negatif,retards passes,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,voiture occasion,marie,46,1089,9,4,4,1,0,0
solde negatif,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,loge gratuitement,aucun,etudes,celibataire,28,715,16,2,4,1,0,1
0 a 200 euros,tous rembourses,500 a 1000 euros,moins de 1 an,voiture,proprietaire,aucun,voiture neuve,celibataire,24,5207,12,4,4,1,2,0
plus de 200 euros,tous rembourses,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,aucun,business,celibataire,23,647,11,4,2,2,2,0
solde negatif,tous rembourses,pas d epargne,1 a 4 ans,assurance vie,proprietaire,aucun,reparations,celibataire,33,2916,35,2,3,1,0,1
pas de compte,tous rembourses,moins de 100 euros,moins de 1 an,voiture,proprietaire,aucun,voiture occasion,celibataire,40,4621,25,2,3,1,0,0
0 a 200 euros,credits en cours ok,pas d epargne,1 a 4 ans,voiture,proprietaire,aucun,tv hifi,marie,54,858,20,3,3,2,1,0
pas de compte,tous rembourses,moins de 100 euros,1 a 4 ans,voiture,loge gratuitement,aucun,voiture neuve,marie,19,1255,14,1,2,2,0,0
solde negatif,retards passes,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,aucun,business,marie,52,5846,10,1,4,3,2,0
pas de compte,tous rembourses,100 a 500 euros,4 a 7 ans,aucun,proprietaire,aucun,tv hifi,celibataire,35,3582,9,2,4,2,0,0
pas de compte,credits en cours ok,moins de 100 euros,4 a 7 ans,immobilier,loge gratuitement,aucun,voiture occasion,celibataire,45,1565,35,4,3,1,0,0
plus de 200 euros,tous rembourses,moins de 100 euros,sans emploi,aucun,loge gratuitement,aucun,equipement maison,marie,42,5800,34,3,2,1,0,1
0 a 200 euros,credits en cours ok,plus de 1000 euros,moins de 1 an,aucun,proprietaire,aucun,voiture neuve,celibataire,34,5818,16,1,2,1,0,0
0 a 200 euros,credits en cours ok,pas d epargne,4 a 7 ans,immobilier,proprietaire,aucun,autre,celibataire,33,2962,7,4,4,1,0,0
solde negatif,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,voiture neuve,divorce,38,1277,27,3,2,1,0,0
pas de compte,tous rembourses,moins de 100 euros,sans emploi,immobilier,loge gratuitement,aucun,tv hifi,marie,31,1812,16,3,4,3,1,0
pas de compte,retards passes,moins de 100 euros,plus de 7 ans,assurance vie,locataire,aucun,equipement maison,divorce,31,2999,32,2,4,1,0,0
pas de compte,retards passes,moins de 100 euros,plus de 7 ans,voiture,proprietaire,credit dans une autre banque,business,marie,19,2131,9,4,4,1,2,0
solde negatif,credits en cours ok,500 a 1000 euros,1 a 4 ans,voiture,proprietaire,aucun,voiture occasion,celibataire,40,4798,20,4,3,1,0,0
0 a 200 euros,credits en cours ok,moins de 100 euros,moins de 1 an,aucun,proprietaire,aucun,tv hifi,marie,25,811,9,1,1,2,1,1
solde negatif,tous rembourses,moins de 100 euros,plus de 7 ans,voiture,proprietaire,aucun,equipement maison,celibataire,47,832,12,2,4,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,4 a 7 ans,assurance vie,loge gratuitement,aucun,tv hifi,marie,45,2780,12,2,4,1,0,0
plus de 200 euros,aucun credit,100 a 500 euros,plus de 7 ans,voiture,locataire,credit dans une autre banque,voiture neuve,celibataire,28,1713,16,2,4,1,0,0
0 a 200 euros,credits en cours ok,plus de 1000 euros,plus de 7 ans,aucun,proprietaire,aucun,voiture neuve,divorce,40,1554,37,3,3,1,0,0
solde negatif,credits en cours ok,100 a 500 euros,plus de 7 ans,immobilier,locataire,aucun,voiture neuve,celibataire,39,683,20,4,4,1,1,1
solde negatif,tous rembourses,pas d epargne,1 a 4 ans,aucun,locataire,aucun,tv hifi,divorce,27,2475,29,4,1,1,1,0
solde negatif,credits en cours ok,moins de 100 euros,moins de 1 an,immobilier,proprietaire,aucun,voiture neuve,divorce,41,2350,20,2,4,1,1,0
pas de compte,credits en cours ok,pas d epargne,4 a 7 ans,voiture,proprietaire,credit dans une autre banque,tv hifi,marie,53,3907,15,4,4,2,0,0
pas de compte,credits en cours ok,moins de 100 euros,4 a 7 ans,assurance vie,proprietaire,credit dans une autre banque,voiture neuve,marie,47,2565,4,4,4,1,2,0
0 a 200 euros,tous rembourses,pas d epargne,plus de 7 ans,immobilier,proprietaire,aucun,etudes,marie,20,2218,10,3,4,2,1,0
pas de compte,credits en cours ok,moins de 100 euros,moins de 1 an,assurance vie,locataire,aucun,business,divorce,39,5696,19,3,2,1,2,1
pas de compte,aucun credit,moins de 100 euros,moins de 1 an,voiture,proprietaire,aucun,tv hifi,marie,45,949,21,2,4,1,1,0
pas de compte,aucun credit,pas d epargne,plus de 7 ans,assurance vie,loge gratuitement,aucun,equipement maison,marie,27,3591,32,3,4,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,plus de 7 ans,immobilier,loge gratuitement,aucun,voiture occasion,marie,47,733,6,3,1,1,0,0
0 a 200 euros,credits en cours ok,moins de 100 euros,plus de 7 ans,voiture,proprietaire,credit dans un magasin,voiture neuve,veuf,26,1335,55,4,4,1,0,1
0 a 200 euros,tous rembourses,moins de 100 euros,plus de 7 ans,aucun,proprietaire,credit dans un magasin,voiture occasion,marie,30,1019,4,4,2,1,1,1
solde negatif,retards passes,pas d epargne,4 a 7 ans,assurance vie,loge gratuitement,aucun,tv hifi,marie,26,4286,18,1,4,2,0,0
pas de compte,defauts passes,moins de 100 euros,4 a 7 ans,immobilier,locataire,aucun,tv hifi,marie,25,2328,13,1,2,2,1,1
solde negatif,credits en cours ok,moins de 100 euros,plus de 7 ans,assurance vie,proprietaire,aucun,business,divorce,38,2417,10,4,4,2,0,1
solde negatif,credits en cours ok,pas d epargne,4 a 7 ans,immobilier,loge gratuitement,aucun,equipement maison,marie,21,1100,42,4,1,1,0,1
pas de compte,tous rembourses,pas d epargne,4 a 7 ans,voiture,locataire,aucun,tv hifi,celibataire,31,1967,13,4,3,1,0,0
solde negatif,tous rembourses,moins de 100 euros,moins de 1 an,voiture,locataire,aucun,equipement maison,marie,38,1409,6,1,2,1,0,0
pas de compte,tous rembourses,500 a 1000 euros,1 a 4 ans,voiture,loge gratuitement,aucun,tv hifi,veuf,26,3217,8,3,2,2,1,0
solde negatif,credits en cours ok,moins de 100 euros,4 a 7 ans,assurance vie,proprietaire,credit dans une autre banque,voiture occasion,marie,49,1196,34,4,4,1,0,0
solde negatif,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,locataire,aucun,equipement maison,divorce,32,6358,8,4,2,1,1,1
pas de compte,credits en cours ok,moins de 100 euros,moins de 1 an,voiture,proprietaire,aucun,equipement maison,celibataire,53,730,7,1,4,2,0,0
pas de compte,aucun credit,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,tv hifi,marie,56,1366,21,2,4,1,0,0
solde negatif,retards passes,pas d epargne,1 a 4 ans,voiture,proprietaire,aucun,business,marie,20,8165,16,3,4,1,1,1
solde negatif,tous rembourses,moins de 100 euros,moins de 1 an,voiture,proprietaire,credit dans une autre banque,voiture occasion,divorce,38,1784,24,4,4,1,0,1
0 a 200 euros,credits en cours ok,500 a 1000 euros,1 a 4 ans,voiture,loge gratuitement,aucun,voiture neuve,celibataire,36,947,15,4,2,1,1,0
solde negatif,credits en cours ok,moins de 100 euros,plus de 7 ans,assurance vie,proprietaire,credit dans une autre banque,equipement maison,divorce,29,2858,28,4,2,2,1,0
pas de compte,tous rembourses,100 a 500 euros,1 a 4 ans,aucun,proprietaire,aucun,tv hifi,marie,34,1733,7,4,3,1,2,0
pas de compte,credits en cours ok,moins de 100 euros,moins de 1 an,voiture,proprietaire,aucun,voiture neuve,celibataire,75,1337,6,1,1,3,0,0
solde negatif,tous rembourses,pas d epargne,moins de 1 an,voiture,proprietaire,aucun,tv hifi,celibataire,40,1109,22,1,4,1,0,0
pas de compte,tous rembourses,500 a 1000 euros,4 a 7 ans,immobilier,locataire,aucun,autre,celibataire,43,17912,16,2,2,1,1,0
solde negatif,credits en cours ok,pas d epargne,1 a 4 ans,voiture,loge gratuitement,aucun,business,marie,32,2036,14,2,4,2,1,0
plus de 200 euros,credits en cours ok,moins de 100 euros,plus de 7 ans,voiture,proprietaire,aucun,voiture neuve,celibataire,38,610,27,4,1,1,1,0
solde negatif,credits en cours ok,pas d epargne,4 a 7 ans,immobilier,proprietaire,aucun,etudes,celibataire,25,7154,59,4,4,1,0,0
pas de compte,tous rembourses,pas d epargne,plus de 7 ans,immobilier,proprietaire,credit dans une autre banque,tv hifi,divorce,43,3789,7,2,2,1,0,0
solde negatif,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,equipement maison,celibataire,52,1405,38,4,1,1,0,0
solde negatif,credits en cours ok,moins de 100 euros,4 a 7 ans,voiture,proprietaire,aucun,tv hifi,celibataire,44,1247,27,4,4,2,1,1
solde negatif,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,reparations,marie,26,3964,14,3,2,2,0,0
plus de 200 euros,tous rembourses,moins de 100 euros,plus de 7 ans,immobilier,proprietaire,aucun,equipement maison,marie,24,2043,44,1,4,2,0,0
pas de compte,credits en cours ok,pas d epargne,4 a 7 ans,voiture,loge gratuitement,aucun,equipement maison,marie,68,610,8,3,3,2,1,0
plus de 200 euros,tous rembourses,pas d epargne,1 a 4 ans,immobilier,proprietaire,aucun,equipement maison,marie,51,8838,24,3,1,1,0,0
0 a 200 euros,tous rembourses,moins de 100 euros,1 a 4 ans,assurance vie,proprietaire,credit dans un magasin,tv hifi,marie,43,1786,17,4,4,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,moins de 1 an,immobilier,proprietaire,aucun,voiture neuve,marie,54,7164,14,3,3,2,0,0
pas de compte,credits en cours ok,moins de 100 euros,4 a 7 ans,immobilier,locataire,aucun,formation,celibataire,33,6127,9,1,4,2,0,0
pas de compte,aucun credit,moins de 100 euros,moins de 1 an,immobilier,proprietaire,aucun,tv hifi,celibataire,42,1187,72,4,3,1,0,1
pas de compte,credits en cours ok,100 a 500 euros,4 a 7 ans,assurance vie,proprietaire,aucun,tv hifi,marie,49,5135,14,4,4,1,0,0
pas de compte,tous rembourses,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,aucun,voiture neuve,celibataire,31,1527,4,3,2,1,0,0
0 a 200 euros,credits en cours ok,moins de 100 euros,4 a 7 ans,assurance vie,proprietaire,aucun,tv hifi,marie,39,636,30,4,2,1,0,1
